Model,Effort,AA_Intelligence_Index_v4_3,AA_Measured_Cost_per_Task_USD,AA_Input_USD_per_1M,AA_Output_USD_per_1M,AA_CacheRead_USD_per_1M,AA_7_2_1_Blended_USD_per_1M,OpenRouter_Standard_Input_USD_per_1M,OpenRouter_Standard_Output_USD_per_1M,OpenRouter_Standard_CacheRead_USD_per_1M,OpenRouter_7_2_1_Blended_USD_per_1M,OpenRouter_to_AA_Tariff_Ratio,Eurobotics_Normalized_Cost_per_Task_USD,OpenRouter_Pricing_Basis,OpenRouter_URL,AA_Source
GPT-5.6 Luna,Low,22,0.01,0.2,1.2,0.02,0.174,0.2,1.2,0.02,0.174,1.0,0.01,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-luna,https://artificialanalysis.ai/
GPT-5.6 Luna,Medium,25,0.02,0.2,1.2,0.02,0.174,0.2,1.2,0.02,0.174,1.0,0.02,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-luna,https://artificialanalysis.ai/
GPT-5.6 Luna,High,32,0.04,0.2,1.2,0.02,0.174,0.2,1.2,0.02,0.174,1.0,0.04,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-luna,https://artificialanalysis.ai/
GPT-5.6 Luna,XHigh,35,0.09,0.2,1.2,0.02,0.174,0.2,1.2,0.02,0.174,1.0,0.09,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-luna,https://artificialanalysis.ai/
GPT-5.6 Luna,Max,38,0.18,0.2,1.2,0.02,0.174,0.2,1.2,0.02,0.174,1.0,0.18,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-luna,https://artificialanalysis.ai/
GPT-5.6 Terra,Low,28,0.14,2.0,12.0,0.2,1.74,2.0,12.0,0.2,1.74,1.0,0.14,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-terra,https://artificialanalysis.ai/
GPT-5.6 Terra,Medium,30,0.18,2.0,12.0,0.2,1.74,2.0,12.0,0.2,1.74,1.0,0.18,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-terra,https://artificialanalysis.ai/
GPT-5.6 Terra,High,34,0.34,2.0,12.0,0.2,1.74,2.0,12.0,0.2,1.74,1.0,0.34,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-terra,https://artificialanalysis.ai/
GPT-5.6 Terra,XHigh,38,0.63,2.0,12.0,0.2,1.74,2.0,12.0,0.2,1.74,1.0,0.63,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-terra,https://artificialanalysis.ai/
GPT-5.6 Terra,Max,42,1.4,2.0,12.0,0.2,1.74,2.0,12.0,0.2,1.74,1.0,1.4,OpenAI standard,https://openrouter.ai/openai/gpt-5.6-terra,https://artificialanalysis.ai/
GPT-5.6 Sol,Low,34,0.26,4.0,20.0,0.4,3.08,4.0,20.0,0.4,3.08,1.0,0.26,OpenAI standard list price; excludes current 50% promotion,https://openrouter.ai/openai/gpt-5.6-sol,https://artificialanalysis.ai/
GPT-5.6 Sol,Medium,39,0.5,4.0,20.0,0.4,3.08,4.0,20.0,0.4,3.08,1.0,0.5,OpenAI standard list price; excludes current 50% promotion,https://openrouter.ai/openai/gpt-5.6-sol,https://artificialanalysis.ai/
GPT-5.6 Sol,High,42,0.81,4.0,20.0,0.4,3.08,4.0,20.0,0.4,3.08,1.0,0.81,OpenAI standard list price; excludes current 50% promotion,https://openrouter.ai/openai/gpt-5.6-sol,https://artificialanalysis.ai/
GPT-5.6 Sol,XHigh,44,1.18,4.0,20.0,0.4,3.08,4.0,20.0,0.4,3.08,1.0,1.18,OpenAI standard list price; excludes current 50% promotion,https://openrouter.ai/openai/gpt-5.6-sol,https://artificialanalysis.ai/
GPT-5.6 Sol,Max,47,1.99,4.0,20.0,0.4,3.08,4.0,20.0,0.4,3.08,1.0,1.99,OpenAI standard list price; excludes current 50% promotion,https://openrouter.ai/openai/gpt-5.6-sol,https://artificialanalysis.ai/
GLM-5.3 Flash,Current,42,0.25,0.15,0.5,0.0255,0.09785,0.15,0.5,0.03,0.101,1.0321921308,0.2580480327,Z.ai / common standard providers,https://openrouter.ai/z-ai/glm-5.3-flash,https://artificialanalysis.ai/
DeepSeek V4.1 Flash,Max,40,0.27,0.3,1.2,0.006,0.1842,0.15,0.6,0.015,0.1005,0.5456026059,0.1473127036,OpenRouter standard,https://openrouter.ai/deepseek/deepseek-v4.1-flash-20260910,https://artificialanalysis.ai/
GLM-5.3 Max,Max,45,2.01,1.4,4.4,0.266,0.9062,1.4,4.4,0.26,0.902,0.9953652615,2.0006841757,Z.ai standard provider; excludes temporary provider discounts,https://openrouter.ai/z-ai/glm-5.3,https://artificialanalysis.ai/
