Model,Effort,AA_Index,AA_Total_Cost,AA_Cache,AA_In,AA_Out,OR_Cache,OR_In,OR_Out,AA_Blend,OR_Blend,Ratio,Est_OR_Total_Cost,OpenRouter_URL
GPT-5.6 Luna,Low,22,27.02,0.02,0.20,1.20,0.02,0.20,1.20,0.174,0.174,1.000,27.02,https://openrouter.ai/openai/gpt-5.6-luna
GPT-5.6 Luna,Medium,25,44.32,0.02,0.20,1.20,0.02,0.20,1.20,0.174,0.174,1.000,44.32,https://openrouter.ai/openai/gpt-5.6-luna
GPT-5.6 Luna,High,32,108.15,0.02,0.20,1.20,0.02,0.20,1.20,0.174,0.174,1.000,108.15,https://openrouter.ai/openai/gpt-5.6-luna
GPT-5.6 Luna,XHigh,35,179.33,0.02,0.20,1.20,0.02,0.20,1.20,0.174,0.174,1.000,179.33,https://openrouter.ai/openai/gpt-5.6-luna
GPT-5.6 Luna,Max,38,319.93,0.02,0.20,1.20,0.02,0.20,1.20,0.174,0.174,1.000,319.93,https://openrouter.ai/openai/gpt-5.6-luna
GPT-5.6 Terra,Low,28,350.36,0.20,2.00,12.00,0.20,2.00,12.00,1.740,1.740,1.000,350.36,https://openrouter.ai/openai/gpt-5.6-terra
GPT-5.6 Terra,Medium,30,446.53,0.20,2.00,12.00,0.20,2.00,12.00,1.740,1.740,1.000,446.53,https://openrouter.ai/openai/gpt-5.6-terra
GPT-5.6 Terra,High,34,767.78,0.20,2.00,12.00,0.20,2.00,12.00,1.740,1.740,1.000,767.78,https://openrouter.ai/openai/gpt-5.6-terra
GPT-5.6 Terra,XHigh,38,1186.77,0.20,2.00,12.00,0.20,2.00,12.00,1.740,1.740,1.000,1186.77,https://openrouter.ai/openai/gpt-5.6-terra
GPT-5.6 Terra,Max,42,2500.72,0.20,2.00,12.00,0.20,2.00,12.00,1.740,1.740,1.000,2500.72,https://openrouter.ai/openai/gpt-5.6-terra
GPT-5.6 Sol,Low,34,637.28,0.40,4.00,20.00,0.20,2.00,10.00,3.080,1.540,0.500,318.64,https://openrouter.ai/openai/gpt-5.6-sol
GPT-5.6 Sol,Medium,39,997.39,0.40,4.00,20.00,0.20,2.00,10.00,3.080,1.540,0.500,498.70,https://openrouter.ai/openai/gpt-5.6-sol
GPT-5.6 Sol,High,42,1487.34,0.40,4.00,20.00,0.20,2.00,10.00,3.080,1.540,0.500,743.67,https://openrouter.ai/openai/gpt-5.6-sol
GPT-5.6 Sol,XHigh,44,2082.28,0.40,4.00,20.00,0.20,2.00,10.00,3.080,1.540,0.500,1041.14,https://openrouter.ai/openai/gpt-5.6-sol
GPT-5.6 Sol,Max,47,3464.84,0.40,4.00,20.00,0.20,2.00,10.00,3.080,1.540,0.500,1732.42,https://openrouter.ai/openai/gpt-5.6-sol
GLM-5.3 Flash,Current,41.91,280.28,0.026,0.15,0.50,0.018,0.09,0.30,0.0982,0.0606,0.6171,172.96,https://openrouter.ai/z-ai/glm-5.3-flash
DeepSeek V4.1 Flash,Max,39.55,476.89,0.006,0.30,1.20,0.003,0.15,0.60,0.1842,0.0921,0.500,238.45,https://openrouter.ai/deepseek/deepseek-v4.1-flash
GLM-5.3,Max,44.86,2503.48,0.26,1.40,4.40,0.26,1.40,4.40,0.906,0.906,1.000,2503.48,https://openrouter.ai/z-ai/glm-5.3
Gemini 3.1 Pro,Preview,30.36,1310.21,0.20,2.00,12.00,0.20,2.00,12.00,1.740,1.740,1.000,1310.21,https://openrouter.ai/google/gemini-3.1-pro-preview
Claude Opus 5,Max,50.70,7274.74,0.50,5.00,25.00,0.50,5.00,25.00,4.350,4.350,1.000,7274.74,https://openrouter.ai/anthropic/claude-opus-5
Claude Fable 5.1,Max,53.37,13128.86,0.25,10.00,50.00,0.25,10.00,50.00,8.250,8.250,1.000,13128.86,https://openrouter.ai/anthropic/claude-fable-5.1
